Reference, Value, Footprint, Notes
"C1","100n","Capacitors_SMD:C_0805",""
"D1","LED RED","LEDs:LED_0805",""
"D2","LED GREEN","LEDs:LED_0805",""
"P1","CONN_02X13","Pin_Headers:Pin_Header_Straight_2x13",""
"P2","CONN_02X05","Connect:IDC_Header_Straight_10pins",""
"Q1","BSS138","TO_SOT_Packages_SMD:SOT-23",""
"Q2","IRLML2244","TO_SOT_Packages_SMD:SOT-23",""
"Q3","BSS138","TO_SOT_Packages_SMD:SOT-23",""
"R1","100","Resistors_SMD:R_0805",""
"R2","4k7","Resistors_SMD:R_0805",""
"R3","330","Resistors_SMD:R_0805",""
"R4","4k7","Resistors_SMD:R_0805",""
"R5","100","Resistors_SMD:R_0805",""
"R6","1M","Resistors_SMD:R_0805",""
"R7","330","Resistors_SMD:R_0805",""
"U1","74HC4053","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm",""
"U2","D5V0F4U6SO","TO_SOT_Packages_SMD:SOT-23-6","or D5V0P4UR6SO or similar (original type was 5V because of availability)"
